text,label,source,length,word_count,url_count,has_shortened_url,digit_ratio,uppercase_ratio,has_currency,has_phone_number,exclamation_count,has_opt_out,has_call_to_action,has_discount_pattern,spam_keyword_count,has_sender_code,original_label
"21/11/2024 11:51 tarihinde <PHONE> sizi aramis, sesli mesaj birakmistir. Mesajinizi 7530 u arayip dinleyebilirsiniz. Yeni mesajlarinizi dinlemek icin servis ucreti arama basina 4,9 TLdir. Eski mesajlarinizi yurt icinden ucretsiz dinleyebilirsiniz. Yurt disindan <PHONE>'i aradiginizda varsa yurt disinda gecerli paketiniz uzerinden yoksa bulundugunuz ulkenin yurt disi tarifesi uzerinden ucretlendirilirsiniz. B002",ham,personal,414.0,49.0,0.0,0.0,0.0507246376811594,0.0410628019323671,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"<PHONE> nolu Turkcell hattiniza ait 21.11.2024 son odeme tarihli, 407.0 TL'lik faturanizin odemesi basarili bir sekilde tamamlanmistir. Odemeniz icin tesekkur ederiz. B002",ham,personal,171.0,22.0,0.0,0.0,0.087719298245614,0.0584795321637426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
hey adamim iyi misin,ham,personal,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
Dogrulama kodunuz: 597020 TWVerify ile gonderildi. B043,ham,personal,55.0,7.0,0.0,0.0,0.1636363636363636,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"24/11/2024 10:17 tarihinde +902162852000 sizi aramis, sesli mesaj birakmistir. Mesajinizi 7530 u arayip dinleyebilirsiniz. Yeni mesajlarinizi dinlemek icin servis ucreti arama basina 4,9 TLdir. Eski mesajlarinizi yurt icinden ucretsiz dinleyebilirsiniz. Yurt disindan <PHONE>'i aradiginizda varsa yurt disinda gecerli paketiniz uzerinden yoksa bulundugunuz ulkenin yurt disi tarifesi uzerinden ucretlendirilirsiniz. B002",ham,personal,420.0,49.0,0.0,0.0,0.0785714285714285,0.0285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Sayin <PERSON> , siparisiniz alinmistir. Bizi tercih ettiginiz icin tesekkur ederiz. B050",ham,personal,89.0,12.0,0.0,0.0,0.0337078651685393,0.1011235955056179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"DEGERLI <PERSON>; <PERSON> <PERSON> YÜZME HAVUZU VE SPOR TESISI <PERSON> DAHA IYI HIZMET VEREBILMEK <PERSON> 22 KASIM CUMA GÜNÜ ITIBARIYLE KAPALI OLACAKTIR.ÜYELIK KARTLARINIZ ILE <PERSON> HABERAL(SENTEPE) VE ATA MAHALLESI(ATA MAHALLESI) YÜZME HAVUZLARINI KULLANABILIRSINIZ.ANLAYISINIZ <PERSON> TESEKKÜR EDER, SAGLIKLI GÜNLER DILERIZ. B002",ham,personal,338.0,40.0,0.0,0.0,0.014792899408284,0.8017751479289941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Nutriking ile efsane kasım kampanyası devam ediyor Tüm ürünlerde geçerli %88e varan indirim ve %10 indirim kodları aktif, ayrıca birbirinden değerli hediyeleri kaçırmayın. Ayrıca playstation 5 çekilişi <PERSON> her alışverişte 1 çekiliş hakkı kazanacaksınız. Ürünleri incelemek ve alışveriş yapmak <PERSON> https://nutriking.com.tr/ sitemizi ziyaret edebilirsiniz. B186",spam,personal,369.0,45.0,1.0,0.0,0.024390243902439,0.046070460704607,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,spam
yolla halledelim moruq,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
"Lütfen gönderilen sahte mesajlara karsi dikkatli olunuz. Bilinmeyen baglantilara tiklamayin, kisisel bilgilerinizi paylasmayin. Hesap kontrolü icin sadece resmi uygulama veya web sitelerini kullanin. B021",ham,personal,204.0,24.0,0.0,0.0,0.0147058823529411,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
bir tane daha olmali ben tekini ictim,ham,personal,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
SAYIN <PERSON> 5794 B016,ham,personal,24.0,4.0,0.0,0.0,0.2916666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
Degerli musterimiz Razer Barracuda X Kablosuz Oyuncu Kulakligi - Siyah urununuz ile ilgili Gulf Sigorta'dan satin almis oldugunuz Sigorta Sozlesmenize https://vatancard.vatanbilgisayar.com/insurance?t=ZHk5VmlYWkEwZktqWXo5bTltYUs3TFZRNVFxdFpsVk5vc1NyUFBJb3pCK2pMVGE5Um1hdStzV0dHUnNMOUhUQQ2 linkinden ulasabilirsiniz. .Iletisim 08502225656.Mersis0632003607286721 B002,ham,personal,365.0,26.0,1.0,0.0,0.1123287671232876,0.1616438356164383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Sayın <PERSON>, 80738016 no'lu gönderiniz <PERSON>(Kapı Önü) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/LnWK34NQhC92po1DdyEPY B016",ham,personal,202.0,18.0,1.0,0.0,0.0792079207920792,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3734534 no'lu gönderiniz, mac servis(Komşu) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/ZdE3X3uHczgm15aSzROY2 B016",ham,personal,232.0,21.0,1.0,0.0,0.0646551724137931,0.1077586206896551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
Siparisiniz hazirlanmistir. Gun icerisinde 80738016 takip numarasi ile KOLAY GELSİN kargoya teslim edilecektir. https://esube.kolaygelsin.com/shipment/qJQfmjjx6nWxDEDTMivRAt87Is0gwT2CS6BHBTDaTRQKzjNAO9099kRigic6sIZe2OnEgn5OJlKxG7QroHg adresini tiklayarak gelismeleri takip edebilirsiniz. Saglikli gunler dileriz.Iletisim 08502225656.Mersis0632003607286721 B002,ham,personal,360.0,24.0,1.0,0.0,0.1444444444444444,0.15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
metroya giricektim tam,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
Bugün 10 Kasım... Atatürk'ün aramızdan ayrılışının üzerinden tam 86 yıl geçti. Işığımız olmaya ve yolumuzu aydınlatmaya devam ediyor. Her yerde ve her anda bize umut aşılayan bir izi mutlaka var. Biz de bu izlerin peşinden gittik ve yolculuğumuzu bir filmle sonlandırdık. Senaryosu ve fikrinin ekip arkadaşlarımıza ait olduğu filmde Yeni Türkü'nün şarkısı 'Resim'in sözleriyle tek ses olduk ve ona #SenHepVarsın dedik. Bize eşlik etmek istersen: https://tnn.li/7b2bj B001,ham,personal,471.0,67.0,1.0,1.0,0.019108280254777,0.0318471337579617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"7 Aralık'ta Üç Eğitmeniyle +50 Saat & Online Başlayacak Siber Güvenlik Okulu Kayıtları Devam Ediyor! Hemen Kaydol! Akbank, Fibabanka, KPMG, Trendyol, Türkiye İş Bankası bu okulda! https://iyzi.link/AJ1Lew Coderspace TANITIM SMS Red: https://onay.li/DX47 B021",spam,personal,258.0,33.0,2.0,0.0,0.0348837209302325,0.1627906976744186,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,spam
4440561419035 takip no'lu kargonuzu <PERSON> (Kendisi) teslim ettik. Hizmet sunumunu ispatlayan dijital belge ile size daha iyi hizmet verebilmek <PERSON> dolduracağınız anketimize https://aras.la/uHjLW7 adresinden ulaşabilirsiniz B016,ham,personal,235.0,26.0,1.0,0.0,0.0723404255319148,0.076595744680851,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Dikkat! TikTak uygulamasına giriş yaparken telefonunuza gelen tek kullanımlık şifre size özeldir. Güvenliğiniz <PERSON> şifrenizi TikTak çalışanları dahil hiç kimseyle paylaşmamalısınız. Tek Kullanımlık Şifreniz:""0149"" B016",ham,personal,223.0,25.0,0.0,0.0,0.0313901345291479,0.0717488789237668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,ham
Bitmedi knk arıcam,ham,personal,18.0,3.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
"Sayın <PERSON>, 80738016 no'lu gönderiniz 05.11.2024 tarihinde adresinize teslim edilecektir. Gönderinizi sorgulamak ya da teslimat tercihinizi değiştirmek <PERSON> linke tıklayınız: https://klyglsn.com/B2gidR3MhY6wOs4lKydNX Teslimatınız ile ilgili desteğe ihtiyaç duymanız durumunda WhatsApp hattımıza bağlanabilirsiniz: https://wa.me/908509550955 B016",ham,personal,353.0,33.0,2.0,0.0,0.0991501416430594,0.0736543909348441,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
Garanti BBVA'dan size ozel 500 TL bonus firsati! Yeni Bonus kredi karti basvurunuza ozel 31 Aralik tarihine kadar yapacaginiz 1500 TL ve uzeri harcamaniza 500 TL bonus firsati icin hemen basvurun! Detayli bilgi: https://www.bonus.com.tr/basvuru1500 SMS almak istemiyorsaniz IPTAL yazip 3342'ye ucretsiz olarak gonderebilirsiniz. Mersis:0879001756600379 B016,spam,personal,357.0,45.0,1.0,0.0,0.1092436974789916,0.0700280112044818,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,spam
"Sayın <PERSON>, talebiniz üzerine 80738016 no'lu gönderiniz Mac servis adlı komşunuza teslim edilecektir. B016",ham,personal,110.0,14.0,0.0,0.0,0.1,0.0818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"<PHONE> numarali hattiniz icin otomatik odeme talimati vererek ""faturami odemeyi unuttum"" derdine son verip, fatura odemelerinizin takibini Turkcell'e ya da bankaniza birakabilirsiniz. Talimatinizi Turkcell Uygulamasi https://dijital.li/x7Nde , turkcell.com.tr veya bankalar uzerinden verebilirsiniz. B002",ham,personal,305.0,33.0,1.0,1.0,0.0131147540983606,0.0360655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Degerli Musterimiz, Yapi Kredi subemizden yaptiginiz islem ile ilgili gorusunuzu merak ediyoruz. Linke tiklayarak kisa anketimize katilmanizi rica ederiz. https://www.yapikredi.com.tr/y/eu2RL SMS almamak icin H yazin 4944'e gonderin. yapikredi.com.tr. Mersis:0937002089200741 B001",ham,personal,280.0,30.0,1.0,0.0,0.0857142857142857,0.0464285714285714,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
Bugün seninle hangi eğitmenler ilgilendi?https://nx4.biz/box2kq0o SMS almak istemiyorsanız MRS RET yaz 4933'e gönderin. Mersis No: 0-6120-5255-9400010 B018,spam,personal,155.0,17.0,1.0,0.0,0.1677419354838709,0.0838709677419354,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,spam
"Göndermiş olduğunuz MUSCLEBLNCE RET mesaji <PERSON>, numaranız gönderim listesinden çıkartılmıştır. B186",spam,personal,104.0,11.0,0.0,0.0,0.0288461538461538,0.2115384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,spam
Isleminizi tamamlamak icin lutfen tanimli cep telefonunuza gelen Akilli SMS sifrenizi giriniz.94382. B002,ham,personal,105.0,13.0,0.0,0.0,0.0761904761904762,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
10.11.2024 tarihli faturaniz 407 TL olup son odeme tarihi 21.11.2024 dir. Faturanizi goruntulemek icin tiklayiniz. https://www.turkcell.com.tr/fd/f/8237276b5e5f1939d8c2a51fee6d5ae21c11d8e319da4ca159609b1d1ec7f1b2 Bir sonraki faturaniz 10.12.2024 de kesilecektir.Faturanizi Turkcell uygulamasi uzerinden goruntuleyebilir ve odeyebilirsiniz. https://dijital.li/DFVSC Odeme yaptiysaniz dikkate almayiniz. B002,ham,personal,406.0,34.0,2.0,1.0,0.1699507389162561,0.0320197044334975,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"PROTEIN CITY MUHTESEM KASIM INDIRIMLERI DEVAM EDIYOR. BIG JOY 2,37 KG WHEY PROTEIN + SHAKER BIG40 INDIRIM KODU ILE 2,590 TL YERINE UCRETSIZ KARGO SECENEGI ILE 1,680 TL . SKT:09/25 https://proteincity.com.tr/products/bigjoy-sports-bigwhey-whey-protein-classic-biskuvi-2376g-72-servis MUSCLEBLNCE RET yazip 7889 gonderin. B186",spam,personal,324.0,37.0,1.0,0.0,0.0925925925925925,0.4320987654320987,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,spam
Kulübünü değerlendirmek <PERSON> hemen tıkla! https://nx4.biz/bopsfng8 SMS almak istemiyorsanız MRS RET yaz 4933'e gönderin. Mersis No: 0-6120-5255-9400010 B018,spam,personal,160.0,18.0,1.0,0.0,0.15625,0.11875,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,spam
SON 4 HANESI <CARD> OLAN KARTINIZLA 1299.00 TL TUTARINDA IYZICO/AMAZON.COM.5 ISTANB ADLI FIRMADA/KURUMDA ISLEM YAPILMISTIR. BILGI ICIN 085022000 B001,ham,personal,149.0,19.0,0.0,0.0,0.1342281879194631,0.6912751677852349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
Bu mesaj GigaFiber'lilerin en özeline yani sana gelsin... 2 Ay Ücretsiz İnternet Fırsatını Kaçırma diye yazıyoruz. Şimdi hemen oturduğun apartmandaki komşunu TurkNet'e davet et; TurkNet'li olan her bir komşun <PERSON> 2 AY ÜCRETSİZ İNTERNET kazan! Üstelik komşunun 2.500 TL'ye kadar Cayma Bedeli de bizden! Unutma kampanya kısa süre <PERSON> geçerlidir. Detaylar <PERSON>: https://tnn.li/HTbQd B001,spam,personal,398.0,54.0,1.0,1.0,0.0226130653266331,0.1507537688442211,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,spam
marketteyim arıcam,ham,personal,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
ZEN: Enter the code 298631 to confirm adding the card to Apple Pay B040,ham,personal,71.0,14.0,0.0,0.0,0.1267605633802817,0.0985915492957746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Kargonuzu anlık takip edin!4440561419035 takip no'lu kargonuzu bugün adresinize getirmek üzere yola çıktık. Aracımızı takip etmek ve teslimat seçeneklerini görüntülemek <PERSON> tıklayabilir;https://aras.la/uHjLW7 , 3877 kodu ile temassız teslim alabilirsiniz. KVKK Aydınlatma Metni: http://aras.la/kvkk B016",ham,personal,308.0,34.0,2.0,0.0,0.0681818181818181,0.0584415584415584,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,ham
ayy teşekkür ederimmmm,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
Ölüm uykusu is real,ham,personal,19.0,4.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
"Sifrenizi kimseyle paylasmayiniz. Sifreniz: 489203. Bu sifre ve TCKN'niz ile 7 gun icinde Internet/Mobil Subeye girerek ""Tek Sifre""nizi olusturabilirsiniz. B001",ham,personal,160.0,20.0,0.0,0.0,0.0625,0.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"MUHTESEM KASIM INDIRIMLERI ERKEN BASLADI. BIO LAB YOHIMBINE BUGUNE OZEL STOKLAR ILE SINIRLI MB50 KODU ILE 1,900 TL YERINE KARGO DAHIL 999 TL. https://proteincity.com.tr/products/bio-lab-yohinbin?_pos=1&_psq=YOH&_ss=e&_v=1.0 MUSCLEBLNCE RET yazip 7889 gonderin. B186",spam,personal,265.0,30.0,1.0,0.0,0.0716981132075471,0.4716981132075472,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,spam
4436604208181 nolu kargonuz <PERSON> teslimat kodunuz 5016. Güvenliğiniz <PERSON> ARAS KARGO personeli dışında kimse ile paylaşmayınız. B016,ham,personal,140.0,17.0,0.0,0.0,0.1428571428571428,0.1642857142857142,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
Akilli SMS sifrenizi banka personeli dahil kimseyle paylasmayiniz. Akilli SMS yerine Akilli Bildirim kullanmak icin sifreniz: 17529 B002,ham,personal,136.0,18.0,0.0,0.0,0.0588235294117647,0.0808823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Sayın <PERSON>, BB3734534 no'lu gönderiniz mac servis(Komşu) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/ZdE3X3uHczgm15aSzROY2 B016",ham,personal,202.0,18.0,1.0,0.0,0.0742574257425742,0.1138613861386138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
Doğum günün kutluu olsuunn 🫶🏻🫶🏻🫠🫠,ham,personal,33.0,5.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ham
Sn.BlNANCE-T.R Kullanicisi Emtia Denetleme Kurulu Tarafindan Varliklariniz Dondurulmustur.Varlik Aktivasyon Adresiniz; https://pubit.jp/home-login B021,spam,personal,151.0,12.0,1.0,0.0,0.0198675496688741,0.1324503311258278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,spam
Engellilere yönelik TURKCELL tarafından sunulan hizmetlere http://turkcell.li/SosyalDestek internet bağlantısından ulaşabilirsiniz. Bilgi Teknolojileri ve Iletişim Kurumu B002,ham,personal,175.0,16.0,1.0,1.0,0.0171428571428571,0.0914285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
0631751167 nolu 22-11-2024 son odeme tarihli 560.00 TL faturaniz icin https://fatura.ckbogazici.com.tr/GXIYABYHDFFXJQWL0WA3NW== baglantisina tiklayiniz. B016,ham,personal,157.0,14.0,1.0,0.0,0.1783439490445859,0.1464968152866242,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ham
"Şşş, Bu Sadece Sana Özel GigaFiber'li: 2 Ay Ücretsiz İnternet Fırsatı! Oturduğun apartmandaki komşunu TurkNet'e davet et; TurkNet'li olan her bir komşun <PERSON> 2 AY ÜCRETSİZ İNTERNET kazan! Üstelik komşunun 2.500 TL'ye kadar Cayma Bedeli de bizden! Ay sonuna kadar vaktin var, fırsatı kaçırma: https://tnn.li/it2kL B001",spam,personal,321.0,46.0,1.0,1.0,0.0311526479750778,0.1495327102803738,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,spam
Please enter the confirmation code 498181 on the screen to register your card to Masterpass. B001,ham,personal,97.0,16.0,0.0,0.0,0.0927835051546391,0.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ham
"Ücretsiz İnternetin Keyfini Çıkarmaya Ne Dersin? ""Arkadaşını Getir"" kampanyasıyla, sevdiğin bir arkadaşını TurkNet'e davet ettiğinde, karşılıklı “1 Ay Ücretsiz” internetin tadını çıkaracaksınız! Üstelik ne kadar çok arkadaş, o kadar ücretsiz internet hizmeti demek. Mesela 12 arkadaşını getirebilir, internet hizmetini 1 yıl boyunca ücretsiz olarak kullanabilirsin! Detaylar <PERSON>: https://tnn.li/A7LG3 B001",spam,personal,410.0,49.0,1.0,1.0,0.0219512195121951,0.0609756097560975,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,spam
