text,label,source,length,word_count,url_count,has_shortened_url,digit_ratio,uppercase_ratio,has_currency,has_phone_number,exclamation_count,has_opt_out,has_call_to_action,has_discount_pattern,spam_keyword_count,has_sender_code
"Kadin <PERSON> Destek (KADES) uygulamasi araciligiyla, kadinlara yonelik risk ve tehdit unsuru olustugunda tek dokunusla en hizli sekilde olay yerine en yakin ekip ve devriyenin sevk edilmesi saglanmaktadir. Uygulamayi indirmek icin tiklayiniz: GOOGLE PLAY ICIN; https://t.co/2yAwTTTrEF APP STORE ICIN; https://t.co/uU5Z6TcEn3 SIDDETIN KARSISINDA, KADINLARIN YANINDAYIZ. B002",ham,personal,375.0,45.0,2.0,1.0,0.018666666666666668,0.23733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Degerli musterimiz,<PHONE> nolu hattiniza ait son odeme tarihi gecmis 407,00 TL faturanizi 02.12.2024 tarihine kadar odemeniz durumunda kullanimlariniza devam edebileceginizi hatirlatmak isteriz. Odemenizi http://trcll.im/faturaode veya https://dijital.li/tzByQ uzerinden kolaylikla gerceklestirebilirsiniz. Odenmemis fatura nedeniyle kullanima kapatilan hatlara 139.27 TL hat kapama-acma ucreti yansir ve taahhutlu kampanyaniz varsa, bitis tarihi kisitlamadan dolayi degismez. Bir takvim yili icindeki ilk kapama-acma ucreti fatura edilmez. Hattiniz kapandiktan sonra odemenizi yapmaniz durumunda, odemenizin sistemlerimize yansimasindan en gec 24 saat icinde kullanimlariniza devam edebilirsiniz. Odeme yaptiysaniz bu mesaji dikkate almayiniz. B002",ham,personal,750.0,83.0,2.0,1.0,0.030666666666666665,0.024,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3860611 no'lu gönderiniz, <PERSON>(Kendisi) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/vnM5WwMSgZ7NNncVx79pY B016",ham,personal,232.0,20.0,1.0,0.0,0.0603448275862069,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3857992 no'lu gönderinizin teslimatını yapmak üzere 2 saat içinde adresinize geliyoruz. Adresinizde olduğunuzu teyit etmek ya da teslimat detaylarını değiştirmek <PERSON> linke tıklayınız: https://klyglsn.com/RHsG05jXVHwgdeaj0ogEK Teslimat öncesi 0216 285 20 00 numarasından aranabilirsiniz. Görüşmelerimiz hizmet kalitesi gereği kaydedilecektir. Detaylı bilgi: https://kolaygelsin.com/kvkk B016",ham,personal,442.0,46.0,2.0,0.0,0.05656108597285068,0.06787330316742081,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sayın <PERSON>, BB3860611 no'lu gönderiniz <PERSON>(Kendisi) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/vnM5WwMSgZ7NNncVx79pY B016",ham,personal,202.0,17.0,1.0,0.0,0.06930693069306931,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bi yemek arti bira atip gelicem,ham,personal,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SIM kart degisikligi nedeniyle sifreniz iletilemedi. Garanti BBVA Mobil giris sayfasindaki Bize Ulasin menusunden, ATM/subelerimizden veya uygulamayla eslestirilmis cihaz ve aktif kart sifrenizle 444 0 333'ten SIM kart degisiklik bildiriminizi yapabilirsiniz. B002",ham,personal,264.0,32.0,0.0,0.0,0.03787878787878788,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"21/11/2024 11:51 tarihinde <PHONE> sizi aramis, sesli mesaj birakmistir. Mesajinizi 7530 u arayip dinleyebilirsiniz. Yeni mesajlarinizi dinlemek icin servis ucreti arama basina 4,9 TLdir. Eski mesajlarinizi yurt icinden ucretsiz dinleyebilirsiniz. Yurt disindan <PHONE>'i aradiginizda varsa yurt disinda gecerli paketiniz uzerinden yoksa bulundugunuz ulkenin yurt disi tarifesi uzerinden ucretlendirilirsiniz. B002",ham,personal,414.0,49.0,0.0,0.0,0.050724637681159424,0.04106280193236715,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"<PHONE> nolu Turkcell hattiniza ait 21.11.2024 son odeme tarihli, 407.0 TL'lik faturanizin odemesi basarili bir sekilde tamamlanmistir. Odemeniz icin tesekkur ederiz. B002",ham,personal,171.0,22.0,0.0,0.0,0.08771929824561403,0.05847953216374269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hey adamim iyi misin,ham,personal,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogrulama kodunuz: 597020 TWVerify ile gonderildi. B043,ham,personal,55.0,7.0,0.0,0.0,0.16363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"24/11/2024 10:17 tarihinde +902162852000 sizi aramis, sesli mesaj birakmistir. Mesajinizi 7530 u arayip dinleyebilirsiniz. Yeni mesajlarinizi dinlemek icin servis ucreti arama basina 4,9 TLdir. Eski mesajlarinizi yurt icinden ucretsiz dinleyebilirsiniz. Yurt disindan <PHONE>'i aradiginizda varsa yurt disinda gecerli paketiniz uzerinden yoksa bulundugunuz ulkenin yurt disi tarifesi uzerinden ucretlendirilirsiniz. B002",ham,personal,420.0,49.0,0.0,0.0,0.07857142857142857,0.02857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sayin <PERSON> , siparisiniz alinmistir. Bizi tercih ettiginiz icin tesekkur ederiz. B050",ham,personal,89.0,12.0,0.0,0.0,0.033707865168539325,0.10112359550561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"DEGERLI <PERSON>; <PERSON> <PERSON> YÜZME HAVUZU VE SPOR TESISI <PERSON> DAHA IYI HIZMET VEREBILMEK <PERSON> 22 KASIM CUMA GÜNÜ ITIBARIYLE KAPALI OLACAKTIR.ÜYELIK KARTLARINIZ ILE <PERSON> HABERAL(SENTEPE) VE ATA MAHALLESI(ATA MAHALLESI) YÜZME HAVUZLARINI KULLANABILIRSINIZ.ANLAYISINIZ <PERSON> TESEKKÜR EDER, SAGLIKLI GÜNLER DILERIZ. B002",ham,personal,338.0,40.0,0.0,0.0,0.014792899408284023,0.8017751479289941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Nutriking ile efsane kasım kampanyası devam ediyor Tüm ürünlerde geçerli %88e varan indirim ve %10 indirim kodları aktif, ayrıca birbirinden değerli hediyeleri kaçırmayın. Ayrıca playstation 5 çekilişi <PERSON> her alışverişte 1 çekiliş hakkı kazanacaksınız. Ürünleri incelemek ve alışveriş yapmak <PERSON> https://nutriking.com.tr/ sitemizi ziyaret edebilirsiniz. B186",spam,personal,369.0,45.0,1.0,0.0,0.024390243902439025,0.04607046070460705,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0
yolla halledelim moruq,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lütfen gönderilen sahte mesajlara karsi dikkatli olunuz. Bilinmeyen baglantilara tiklamayin, kisisel bilgilerinizi paylasmayin. Hesap kontrolü icin sadece resmi uygulama veya web sitelerini kullanin. B021",ham,personal,204.0,24.0,0.0,0.0,0.014705882352941176,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bir tane daha olmali ben tekini ictim,ham,personal,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAYIN <PERSON> 5794 B016,ham,personal,24.0,4.0,0.0,0.0,0.2916666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Degerli musterimiz Razer Barracuda X Kablosuz Oyuncu Kulakligi - Siyah urununuz ile ilgili Gulf Sigorta'dan satin almis oldugunuz Sigorta Sozlesmenize https://vatancard.vatanbilgisayar.com/insurance?t=ZHk5VmlYWkEwZktqWXo5bTltYUs3TFZRNVFxdFpsVk5vc1NyUFBJb3pCK2pMVGE5Um1hdStzV0dHUnNMOUhUQQ2 linkinden ulasabilirsiniz. .Iletisim 08502225656.Mersis0632003607286721 B002,ham,personal,365.0,26.0,1.0,0.0,0.11232876712328767,0.16164383561643836,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Sayın <PERSON>, 80738016 no'lu gönderiniz <PERSON>(Kapı Önü) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/LnWK34NQhC92po1DdyEPY B016",ham,personal,202.0,18.0,1.0,0.0,0.07920792079207921,0.1485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sayın <PERSON>, Amazon Türkiye'den aldığınız BB3734534 no'lu gönderiniz, mac servis(Komşu) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/ZdE3X3uHczgm15aSzROY2 B016",ham,personal,232.0,21.0,1.0,0.0,0.06465517241379311,0.10775862068965517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Siparisiniz hazirlanmistir. Gun icerisinde 80738016 takip numarasi ile KOLAY GELSİN kargoya teslim edilecektir. https://esube.kolaygelsin.com/shipment/qJQfmjjx6nWxDEDTMivRAt87Is0gwT2CS6BHBTDaTRQKzjNAO9099kRigic6sIZe2OnEgn5OJlKxG7QroHg adresini tiklayarak gelismeleri takip edebilirsiniz. Saglikli gunler dileriz.Iletisim 08502225656.Mersis0632003607286721 B002,ham,personal,360.0,24.0,1.0,0.0,0.14444444444444443,0.15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
metroya giricektim tam,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bugün 10 Kasım... Atatürk'ün aramızdan ayrılışının üzerinden tam 86 yıl geçti. Işığımız olmaya ve yolumuzu aydınlatmaya devam ediyor. Her yerde ve her anda bize umut aşılayan bir izi mutlaka var. Biz de bu izlerin peşinden gittik ve yolculuğumuzu bir filmle sonlandırdık. Senaryosu ve fikrinin ekip arkadaşlarımıza ait olduğu filmde Yeni Türkü'nün şarkısı 'Resim'in sözleriyle tek ses olduk ve ona #SenHepVarsın dedik. Bize eşlik etmek istersen: https://tnn.li/7b2bj B001,ham,personal,471.0,67.0,1.0,1.0,0.01910828025477707,0.03184713375796178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"7 Aralık'ta Üç Eğitmeniyle +50 Saat & Online Başlayacak Siber Güvenlik Okulu Kayıtları Devam Ediyor! Hemen Kaydol! Akbank, Fibabanka, KPMG, Trendyol, Türkiye İş Bankası bu okulda! https://iyzi.link/AJ1Lew Coderspace TANITIM SMS Red: https://onay.li/DX47 B021",spam,personal,258.0,33.0,2.0,0.0,0.03488372093023256,0.16279069767441862,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
4440561419035 takip no'lu kargonuzu <PERSON> (Kendisi) teslim ettik. Hizmet sunumunu ispatlayan dijital belge ile size daha iyi hizmet verebilmek <PERSON> dolduracağınız anketimize https://aras.la/uHjLW7 adresinden ulaşabilirsiniz B016,ham,personal,235.0,26.0,1.0,0.0,0.07234042553191489,0.07659574468085106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Dikkat! TikTak uygulamasına giriş yaparken telefonunuza gelen tek kullanımlık şifre size özeldir. Güvenliğiniz <PERSON> şifrenizi TikTak çalışanları dahil hiç kimseyle paylaşmamalısınız. Tek Kullanımlık Şifreniz:""0149"" B016",ham,personal,223.0,25.0,0.0,0.0,0.03139013452914798,0.07174887892376682,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bitmedi knk arıcam,ham,personal,18.0,3.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sayın <PERSON>, 80738016 no'lu gönderiniz 05.11.2024 tarihinde adresinize teslim edilecektir. Gönderinizi sorgulamak ya da teslimat tercihinizi değiştirmek <PERSON> linke tıklayınız: https://klyglsn.com/B2gidR3MhY6wOs4lKydNX Teslimatınız ile ilgili desteğe ihtiyaç duymanız durumunda WhatsApp hattımıza bağlanabilirsiniz: https://wa.me/908509550955 B016",ham,personal,353.0,33.0,2.0,0.0,0.09915014164305949,0.07365439093484419,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Garanti BBVA'dan size ozel 500 TL bonus firsati! Yeni Bonus kredi karti basvurunuza ozel 31 Aralik tarihine kadar yapacaginiz 1500 TL ve uzeri harcamaniza 500 TL bonus firsati icin hemen basvurun! Detayli bilgi: https://www.bonus.com.tr/basvuru1500 SMS almak istemiyorsaniz IPTAL yazip 3342'ye ucretsiz olarak gonderebilirsiniz. Mersis:0879001756600379 B016,spam,personal,357.0,45.0,1.0,0.0,0.1092436974789916,0.0700280112044818,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0
"Sayın <PERSON>, talebiniz üzerine 80738016 no'lu gönderiniz Mac servis adlı komşunuza teslim edilecektir. B016",ham,personal,110.0,14.0,0.0,0.0,0.1,0.08181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"<PHONE> numarali hattiniz icin otomatik odeme talimati vererek ""faturami odemeyi unuttum"" derdine son verip, fatura odemelerinizin takibini Turkcell'e ya da bankaniza birakabilirsiniz. Talimatinizi Turkcell Uygulamasi https://dijital.li/x7Nde , turkcell.com.tr veya bankalar uzerinden verebilirsiniz. B002",ham,personal,305.0,33.0,1.0,1.0,0.013114754098360656,0.036065573770491806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Degerli Musterimiz, Yapi Kredi subemizden yaptiginiz islem ile ilgili gorusunuzu merak ediyoruz. Linke tiklayarak kisa anketimize katilmanizi rica ederiz. https://www.yapikredi.com.tr/y/eu2RL SMS almamak icin H yazin 4944'e gonderin. yapikredi.com.tr. Mersis:0937002089200741 B001",ham,personal,280.0,30.0,1.0,0.0,0.08571428571428572,0.04642857142857143,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Bugün seninle hangi eğitmenler ilgilendi?https://nx4.biz/box2kq0o SMS almak istemiyorsanız MRS RET yaz 4933'e gönderin. Mersis No: 0-6120-5255-9400010 B018,spam,personal,155.0,17.0,1.0,0.0,0.16774193548387098,0.08387096774193549,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"Göndermiş olduğunuz MUSCLEBLNCE RET mesaji <PERSON>, numaranız gönderim listesinden çıkartılmıştır. B186",spam,personal,104.0,11.0,0.0,0.0,0.028846153846153848,0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isleminizi tamamlamak icin lutfen tanimli cep telefonunuza gelen Akilli SMS sifrenizi giriniz.94382. B002,ham,personal,105.0,13.0,0.0,0.0,0.0761904761904762,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.11.2024 tarihli faturaniz 407 TL olup son odeme tarihi 21.11.2024 dir. Faturanizi goruntulemek icin tiklayiniz. https://www.turkcell.com.tr/fd/f/8237276b5e5f1939d8c2a51fee6d5ae21c11d8e319da4ca159609b1d1ec7f1b2 Bir sonraki faturaniz 10.12.2024 de kesilecektir.Faturanizi Turkcell uygulamasi uzerinden goruntuleyebilir ve odeyebilirsiniz. https://dijital.li/DFVSC Odeme yaptiysaniz dikkate almayiniz. B002,ham,personal,406.0,34.0,2.0,1.0,0.16995073891625614,0.03201970443349754,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"PROTEIN CITY MUHTESEM KASIM INDIRIMLERI DEVAM EDIYOR. BIG JOY 2,37 KG WHEY PROTEIN + SHAKER BIG40 INDIRIM KODU ILE 2,590 TL YERINE UCRETSIZ KARGO SECENEGI ILE 1,680 TL . SKT:09/25 https://proteincity.com.tr/products/bigjoy-sports-bigwhey-whey-protein-classic-biskuvi-2376g-72-servis MUSCLEBLNCE RET yazip 7889 gonderin. B186",spam,personal,324.0,37.0,1.0,0.0,0.09259259259259259,0.43209876543209874,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
Kulübünü değerlendirmek <PERSON> hemen tıkla! https://nx4.biz/bopsfng8 SMS almak istemiyorsanız MRS RET yaz 4933'e gönderin. Mersis No: 0-6120-5255-9400010 B018,spam,personal,160.0,18.0,1.0,0.0,0.15625,0.11875,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
SON 4 HANESI <CARD> OLAN KARTINIZLA 1299.00 TL TUTARINDA IYZICO/AMAZON.COM.5 ISTANB ADLI FIRMADA/KURUMDA ISLEM YAPILMISTIR. BILGI ICIN 085022000 B001,ham,personal,149.0,19.0,0.0,0.0,0.1342281879194631,0.6912751677852349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bu mesaj GigaFiber'lilerin en özeline yani sana gelsin... 2 Ay Ücretsiz İnternet Fırsatını Kaçırma diye yazıyoruz. Şimdi hemen oturduğun apartmandaki komşunu TurkNet'e davet et; TurkNet'li olan her bir komşun <PERSON> 2 AY ÜCRETSİZ İNTERNET kazan! Üstelik komşunun 2.500 TL'ye kadar Cayma Bedeli de bizden! Unutma kampanya kısa süre <PERSON> geçerlidir. Detaylar <PERSON>: https://tnn.li/HTbQd B001,spam,personal,398.0,54.0,1.0,1.0,0.022613065326633167,0.1507537688442211,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0
marketteyim arıcam,ham,personal,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEN: Enter the code 298631 to confirm adding the card to Apple Pay B040,ham,personal,71.0,14.0,0.0,0.0,0.1267605633802817,0.09859154929577464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Kargonuzu anlık takip edin!4440561419035 takip no'lu kargonuzu bugün adresinize getirmek üzere yola çıktık. Aracımızı takip etmek ve teslimat seçeneklerini görüntülemek <PERSON> tıklayabilir;https://aras.la/uHjLW7 , 3877 kodu ile temassız teslim alabilirsiniz. KVKK Aydınlatma Metni: http://aras.la/kvkk B016",ham,personal,308.0,34.0,2.0,0.0,0.06818181818181818,0.05844155844155844,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
ayy teşekkür ederimmmm,ham,personal,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ölüm uykusu is real,ham,personal,19.0,4.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sifrenizi kimseyle paylasmayiniz. Sifreniz: 489203. Bu sifre ve TCKN'niz ile 7 gun icinde Internet/Mobil Subeye girerek ""Tek Sifre""nizi olusturabilirsiniz. B001",ham,personal,160.0,20.0,0.0,0.0,0.0625,0.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MUHTESEM KASIM INDIRIMLERI ERKEN BASLADI. BIO LAB YOHIMBINE BUGUNE OZEL STOKLAR ILE SINIRLI MB50 KODU ILE 1,900 TL YERINE KARGO DAHIL 999 TL. https://proteincity.com.tr/products/bio-lab-yohinbin?_pos=1&_psq=YOH&_ss=e&_v=1.0 MUSCLEBLNCE RET yazip 7889 gonderin. B186",spam,personal,265.0,30.0,1.0,0.0,0.07169811320754717,0.4716981132075472,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
4436604208181 nolu kargonuz <PERSON> teslimat kodunuz 5016. Güvenliğiniz <PERSON> ARAS KARGO personeli dışında kimse ile paylaşmayınız. B016,ham,personal,140.0,17.0,0.0,0.0,0.14285714285714285,0.16428571428571428,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Akilli SMS sifrenizi banka personeli dahil kimseyle paylasmayiniz. Akilli SMS yerine Akilli Bildirim kullanmak icin sifreniz: 17529 B002,ham,personal,136.0,18.0,0.0,0.0,0.058823529411764705,0.08088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Sayın <PERSON>, BB3734534 no'lu gönderiniz mac servis(Komşu) adlı kişiye teslim edilmiştir. Linke tıklayarak Hizmet Değerlendirme Anketine katılabilirsiniz:https://klyglsn.com/ZdE3X3uHczgm15aSzROY2 B016",ham,personal,202.0,18.0,1.0,0.0,0.07425742574257425,0.11386138613861387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Doğum günün kutluu olsuunn 🫶🏻🫶🏻🫠🫠,ham,personal,33.0,5.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn.BlNANCE-T.R Kullanicisi Emtia Denetleme Kurulu Tarafindan Varliklariniz Dondurulmustur.Varlik Aktivasyon Adresiniz; https://pubit.jp/home-login B021,spam,personal,151.0,12.0,1.0,0.0,0.019867549668874173,0.13245033112582782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Engellilere yönelik TURKCELL tarafından sunulan hizmetlere http://turkcell.li/SosyalDestek internet bağlantısından ulaşabilirsiniz. Bilgi Teknolojileri ve Iletişim Kurumu B002,ham,personal,175.0,16.0,1.0,1.0,0.017142857142857144,0.09142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0631751167 nolu 22-11-2024 son odeme tarihli 560.00 TL faturaniz icin https://fatura.ckbogazici.com.tr/GXIYABYHDFFXJQWL0WA3NW== baglantisina tiklayiniz. B016,ham,personal,157.0,14.0,1.0,0.0,0.17834394904458598,0.1464968152866242,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"Şşş, Bu Sadece Sana Özel GigaFiber'li: 2 Ay Ücretsiz İnternet Fırsatı! Oturduğun apartmandaki komşunu TurkNet'e davet et; TurkNet'li olan her bir komşun <PERSON> 2 AY ÜCRETSİZ İNTERNET kazan! Üstelik komşunun 2.500 TL'ye kadar Cayma Bedeli de bizden! Ay sonuna kadar vaktin var, fırsatı kaçırma: https://tnn.li/it2kL B001",spam,personal,321.0,46.0,1.0,1.0,0.03115264797507788,0.14953271028037382,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0
Please enter the confirmation code 498181 on the screen to register your card to Masterpass. B001,ham,personal,97.0,16.0,0.0,0.0,0.09278350515463918,0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Ücretsiz İnternetin Keyfini Çıkarmaya Ne Dersin? ""Arkadaşını Getir"" kampanyasıyla, sevdiğin bir arkadaşını TurkNet'e davet ettiğinde, karşılıklı “1 Ay Ücretsiz” internetin tadını çıkaracaksınız! Üstelik ne kadar çok arkadaş, o kadar ücretsiz internet hizmeti demek. Mesela 12 arkadaşını getirebilir, internet hizmetini 1 yıl boyunca ücretsiz olarak kullanabilirsin! Detaylar <PERSON>: https://tnn.li/A7LG3 B001",spam,personal,410.0,49.0,1.0,1.0,0.02195121951219512,0.06097560975609756,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
Telafi edeyim boşa cıkınca,ham,personal,26.0,4.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
